CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
TH328851,9/29/1998,Zayn ad-Din,Husam ad-Din,GIND3,+(212) 533-96074,Zayn ad-Din.Husam ad-Din@gmail.com
YI384420,7/18/1998,Ammar,Hussein,GIND3,+(212) 691-91797,Ammar.Hussein@gmail.com
GE845978,4/27/1998,Sarmad,Saifullah,GIND3,+(212) 034-30762,Sarmad.Saifullah@gmail.com
JQ680566,6/3/1999,Salman ,Naseeb,GIND3,+(212) 604-02605,Salman .Naseeb@gmail.com
KL864101,4/26/1998,Mubarak ,Qaid,GIND3,+(212) 124-59040,Mubarak .Qaid@gmail.com
QY658770,9/11/1998,Atiqullah,Turki ,GIND3,+(212) 205-36383,Atiqullah.Turki @gmail.com
PG845818,2/2/1999,Abdul Samad,Asif,GIND3,+(212) 352-68066,Abdul Samad.Asif@gmail.com
GE397843,4/11/1998,Faizullah,Nawaf,GIND3,+(212) 133-66293,Faizullah.Nawaf@gmail.com
TP107916,11/6/1998,Abdullah,Labib,GIND3,+(212) 630-03470,Abdullah.Labib@gmail.com
QG285266,9/5/1998,Afif,Ibrahim ,GIND3,+(212) 565-92198,Afif.Ibrahim @gmail.com
CP108188,3/27/1999,Adham,Najib,GIND3,+(212) 155-19203,Adham.Najib@gmail.com
NY740577,4/22/1999,Jameel,Sayf al-Din,GIND3,+(212) 318-45793,Jameel.Sayf al-Din@gmail.com
CN217468,5/21/1998,Aziz,Azmi,GIND3,+(212) 661-86189,Aziz.Azmi@gmail.com
WD544145,6/13/1999,Khakim,Abid,GIND3,+(212) 890-48328,Khakim.Abid@gmail.com
TQ523919,4/25/1999,Anwaruddin,Rizqallah,GIND3,+(212) 090-57182,Anwaruddin.Rizqallah@gmail.com
FZ467455,12/21/1998,Wajid ,Ghulam Faruq,GIND3,+(212) 382-01710,Wajid .Ghulam Faruq@gmail.com
QD163100,8/7/1998,Arif,Abd al-Aziz,GIND3,+(212) 432-20090,Arif.Abd al-Aziz@gmail.com
JC784655,1/30/1998,Abdul Ali,Sajjad,GIND3,+(212) 164-62514,Abdul Ali.Sajjad@gmail.com
RM446813,10/6/1998,Fazlallah,Karim,GIND3,+(212) 721-78385,Fazlallah.Karim@gmail.com
PO315492,10/3/1998,Asad,Ismail ,GIND3,+(212) 673-26162,Asad.Ismail @gmail.com
MR196959,10/28/1998,Wahid,Abdul Sattar,GIND3,+(212) 734-44618,Wahid.Abdul Sattar@gmail.com
BS747812,1/15/1999,Muammer,Qutb,GIND3,+(212) 073-41019,Muammer.Qutb@gmail.com
QP342524,4/13/1998,Saadallah,Abdus Shakur,GIND3,+(212) 844-20972,Saadallah.Abdus Shakur@gmail.com
JP586195,6/3/1999,Fadel,Harun,GIND3,+(212) 029-58059,Fadel.Harun@gmail.com
WL188338,6/15/1998,Tahsin,Faizullah,GIND3,+(212) 730-27714,Tahsin.Faizullah@gmail.com
MK867611,12/7/1998,Khair ad-Din,Muhammad ,GIND3,+(212) 117-15366,Khair ad-Din.Muhammad @gmail.com
NH845475,9/2/1998,Hayatullah,Dawoud,GIND3,+(212) 457-73365,Hayatullah.Dawoud@gmail.com
ZK120561,6/16/1999,Abdul Hakim,Jurj,GIND3,+(212) 746-12962,Abdul Hakim.Jurj@gmail.com
UR999535,11/18/1998,Ruhi,Mansur,GIND3,+(212) 471-50426,Ruhi.Mansur@gmail.com
RA859258,4/12/1998,Faraj,Yusuf Ali,GIND3,+(212) 275-64785,Faraj.Yusuf Ali@gmail.com
UB441037,12/6/1998,Zane,Kadeem,GIND3,+(212) 114-22947,Zane.Kadeem@gmail.com
MA260323,3/23/1998,Ramzan,Lalji,GIND3,+(212) 071-69126,Ramzan.Lalji@gmail.com
VL936034,6/2/1998,Najim ,Jahid,GIND3,+(212) 465-21651,Najim .Jahid@gmail.com
RJ642617,3/16/1999,Jarrah ,Abu al-Qasim,GIND3,+(212) 280-60441,Jarrah .Abu al-Qasim@gmail.com
GV769391,4/27/1998,Najm al-Din,Ja'far,GIND3,+(212) 306-09037,Najm al-Din.Ja'far@gmail.com
RH730216,1/15/1999,Marwan,Habibullah,GIND3,+(212) 188-08231,Marwan.Habibullah@gmail.com
CX228633,1/1/1998,Shad ,Mohannad,GIND3,+(212) 745-13479,Shad .Mohannad@gmail.com
DD287024,3/13/1999,Abdul Ali,Mumtaz,GIND3,+(212) 402-34363,Abdul Ali.Mumtaz@gmail.com
XY667829,2/22/1999,Habib ur Rahman,Saif ,GIND3,+(212) 143-76567,Habib ur Rahman.Saif @gmail.com
UU493265,1/5/1998,Kadeem,Taqi,GIND3,+(212) 543-40815,Kadeem.Taqi@gmail.com
AZ411601,5/21/1999,Ali Reza,Akeem,GIND3,+(212) 544-58067,Ali Reza.Akeem@gmail.com
WB670551,1/4/1998,Sirajuddin,Sarmad,GIND3,+(212) 572-84445,Sirajuddin.Sarmad@gmail.com
JI888137,1/20/1999,Abdul Zahir,Jubayr,GIND3,+(212) 321-05144,Abdul Zahir.Jubayr@gmail.com
ZV451043,11/24/1998,Shujauddin,Azhar,GIND3,+(212) 561-74040,Shujauddin.Azhar@gmail.com
FE391272,6/30/1998,Moatassem,Gamil ,GIND3,+(212) 585-11396,Moatassem.Gamil @gmail.com
ND363979,1/19/1998,Farid,Habibullah,GIND3,+(212) 023-23515,Farid.Habibullah@gmail.com
AO630329,5/21/1998,Husam ad-Din,Bagher,GIND3,+(212) 171-15940,Husam ad-Din.Bagher@gmail.com
TT542766,9/23/1998,Sabah ad-Din,Nasri,GIND3,+(212) 200-33052,Sabah ad-Din.Nasri@gmail.com
YX295894,7/17/1998,Aqeel,Muzaffar,GIND3,+(212) 474-45312,Aqeel.Muzaffar@gmail.com
IG552740,3/30/1999,Baha' al-Din,Zubayr ,GIND3,+(212) 404-79485,Baha' al-Din.Zubayr @gmail.com
YY575476,6/3/1999,Burhan al-Din,Fazl ur Rahman,GIND3,+(212) 072-11427,Burhan al-Din.Fazl ur Rahman@gmail.com
UO332782,4/3/1998,Nuh ,Shahrukh ,GIND3,+(212) 822-70841,Nuh .Shahrukh @gmail.com
